Time Start, Time End, x, y, Qx, Qy
1670598719631, 1670598719655, 343.34292067761055, 339.0893153713206, 360.0, 360.0
1670598719660, 1670598719682, 341.01870708550183, 339.1863322382065, 360.0, 360.0
1670598719693, 1670598719708, 337.8448173501581, 337.11959090919316, 360.0, 360.0
1670598719717, 1670598719751, 335.2122182563299, 335.7458395056106, 360.0, 360.0
1670598719753, 1670598719774, 332.5796191625017, 334.372088102028, 360.0, 360.0
1670598719779, 1670598719798, 330.26965727799893, 333.61121850829755, 360.0, 360.0
1670598719807, 1670598719822, 328.62938198975246, 332.95161278805676, 300.0, 360.0
1670598719835, 1670598719848, 327.4194772891906, 334.8935414087801, 300.0, 360.0
1670598719861, 1670598719903, 326.18633104208124, 337.86626049705995, 300.0, 360.0
1670598719905, 1670598719931, 325.10382148193577, 342.4007655798212, 300.0, 360.0
1670598719941, 1670598719961, 324.8056999617475, 347.03789249455247, 300.0, 360.0
1670598719975, 1670598719999, 325.375208535237, 352.87284148064725, 300.0, 360.0
1670598720000, 1670598720031, 326.1478282716648, 359.1646408243625, 300.0, 360.0
1670598720041, 1670598720054, 327.10206082098836, 364.3812582281938, 300.0, 360.0
1670598720065, 1670598720079, 328.0562933703119, 369.5978756320252, 300.0, 360.0
1670598720093, 1670598720103, 328.6083808646855, 373.33712810949237, 300.0, 360.0
1670598720110, 1670598720130, 328.8432913257748, 375.03855149912124, 300.0, 360.0
1670598720140, 1670598720155, 330.0311218947931, 377.7632153112473, 360.0, 360.0
1670598720164, 1670598720169, 331.163600525305, 379.45437658195607, 360.0, 360.0
1670598720179, 1670598720197, 332.32192967534525, 379.137004237427, 360.0, 360.0
1670598720202, 1670598720221, 334.063614685401, 378.86844516002475, 360.0, 360.0
1670598720235, 1670598720244, 336.3490821780341, 378.6447987615064, 360.0, 360.0
1670598720249, 1670598720267, 338.5086353376525, 375.39612000835734, 360.0, 360.0
1670598720280, 1670598720289, 340.60528288536585, 370.6706889659253, 360.0, 360.0
1670598720301, 1670598720313, 342.7573246488162, 363.91096580881526, 360.0, 360.0
1670598720324, 1670598720337, 344.83262511330616, 356.1540293769317, 360.0, 360.0
1670598720347, 1670598720361, 346.5726722085868, 347.280184078245, 360.0, 360.0
1670598720374, 1670598720390, 348.3127193038674, 338.40633877955827, 360.0, 360.0
1670598720400, 1670598720416, 349.1884947264827, 330.52654635089004, 360.0, 360.0
1670598720428, 1670598720440, 350.0642701490979, 322.6467539222219, 360.0, 300.0
1670598720450, 1670598720463, 351.77879040788906, 315.85155063425617, 360.0, 300.0
1670598720469, 1670598720491, 353.49331066668015, 309.0563473462904, 360.0, 300.0
1670598720499, 1670598720517, 355.1041631663821, 301.91366468547454, 360.0, 300.0
1670598720531, 1670598720546, 356.6215972799347, 295.7912147996198, 360.0, 300.0
1670598720559, 1670598720563, 358.71578582409666, 291.2973377607757, 360.0, 300.0
1670598720571, 1670598720590, 360.29528843420894, 285.4469478060532, 360.0, 300.0
1670598720604, 1670598720616, 361.2979315204479, 278.57468960137294, 360.0, 300.0
1670598720629, 1670598720642, 362.2865116721607, 272.6832811983897, 360.0, 300.0
1670598720652, 1670598720670, 363.5001095381544, 266.33597715020284, 360.0, 240.0
1670598720681, 1670598720696, 364.6720866669564, 259.97820454833476, 360.0, 240.0
1670598720710, 1670598720724, 367.2538728735348, 253.7174507956185, 360.0, 240.0
1670598720737, 1670598720770, 369.83565908011326, 247.45669704290228, 360.0, 240.0
1670598720790, 1670598720802, 372.41744528669176, 241.19594329018602, 360.0, 240.0
1670598720814, 1670598720826, 375.6818903530399, 235.01631860733514, 360.0, 240.0
1670598720833, 1670598720852, 378.94633541938805, 228.83669392448425, 360.0, 240.0
1670598720863, 1670598720876, 381.6475723332466, 222.49471065020603, 360.0, 240.0
1670598720888, 1670598720907, 383.05803964594554, 217.09617627676826, 360.0, 240.0
1670598720918, 1670598720931, 383.93643164308895, 213.05970994152176, 360.0, 240.0
1670598720945, 1670598720961, 384.7135000337248, 209.49323648653908, 360.0, 180.0
1670598720974, 1670598720979, 384.88796347422294, 206.3067237997836, 360.0, 180.0
1670598720999, 1670598721001, 384.9211851552326, 203.43203295966018, 360.0, 180.0
1670598721010, 1670598721029, 384.2531364687759, 201.49234195026335, 360.0, 180.0
1670598721040, 1670598721051, 383.58508778231925, 199.55265094086656, 360.0, 180.0
1670598721054, 1670598721075, 382.34298026334915, 198.52871238799744, 360.0, 180.0
1670598721084, 1670598721099, 380.18951122410203, 197.37284423754872, 360.0, 180.0
1670598721110, 1670598721126, 375.8032647501582, 197.0313250908873, 360.0, 180.0
1670598721142, 1670598721158, 371.4170182762143, 196.6898059442259, 360.0, 180.0
1670598721172, 1670598721202, 366.503206631726, 196.76927212504185, 360.0, 180.0
1670598721205, 1670598721231, 361.26738765284506, 195.68075289150602, 360.0, 180.0
1670598721234, 1670598721301, 355.6275709607521, 193.3575335676287, 360.0, 180.0
1670598721307, 1670598721330, 349.9421761555287, 190.14660881157866, 360.0, 180.0
1670598721335, 1670598721358, 345.5475509514649, 185.99223515468822, 360.0, 180.0
1670598721367, 1670598721386, 341.1529257474011, 181.83786149779775, 360.0, 180.0
1670598721392, 1670598721415, 336.8596241498449, 177.21349496064346, 360.0, 180.0
1670598721418, 1670598721440, 332.5663225522887, 172.58912842348917, 360.0, 180.0
1670598721441, 1670598721468, 328.34559278825515, 168.96063968845442, 300.0, 180.0
1670598721469, 1670598721496, 324.8592104329839, 165.37410669376686, 300.0, 180.0
1670598721498, 1670598721526, 321.37282807771265, 161.78757369907933, 300.0, 180.0
1670598721541, 1670598721548, 318.4350381656497, 157.7672090129445, 300.0, 180.0
1670598721564, 1670598721574, 316.4811816073866, 154.87465172650883, 300.0, 180.0
1670598721591, 1670598721598, 315.0736020093305, 150.3098221491333, 300.0, 180.0
1670598721617, 1670598721627, 314.54206348933724, 147.02628982868643, 300.0, 120.0
1670598721640, 1670598721651, 313.370751187848, 143.1424051919003, 300.0, 120.0
1670598721667, 1670598721676, 312.52144622075133, 140.42650596946598, 300.0, 120.0
1670598721689, 1670598721703, 312.0761389668666, 138.94530683737312, 300.0, 120.0
1670598721715, 1670598721728, 311.54481256373856, 137.86918269081605, 300.0, 120.0
1670598721743, 1670598721758, 310.0108285902747, 135.43793699857846, 300.0, 120.0
1670598721771, 1670598721784, 307.71964298381306, 131.4898244668556, 300.0, 120.0
1670598721793, 1670598721805, 305.4284573773515, 127.54171193513271, 300.0, 120.0
1670598721811, 1670598721833, 303.1372717708899, 123.59359940340983, 300.0, 120.0
1670598721846, 1670598721855, 302.2914986145017, 119.99218273872525, 300.0, 120.0
1670598721869, 1670598721874, 302.0514700853513, 117.81412832410143, 300.0, 120.0
1670598721880, 1670598721904, 302.70637029141153, 115.9923790386582, 300.0, 120.0
1670598721917, 1670598721927, 303.2478663309485, 114.5905664550646, 300.0, 120.0
1670598721942, 1670598721949, 303.78936237048543, 113.18875387147101, 300.0, 120.0
1670598721954, 1670598721976, 304.6842911056961, 113.54505900065159, 300.0, 120.0
1670598721990, 1670598722003, 304.7031787628439, 112.62006687290358, 300.0, 120.0
1670598722013, 1670598722030, 305.8894053720322, 111.87444173401741, 300.0, 120.0
1670598722043, 1670598722053, 305.78716226259587, 110.81873002502176, 300.0, 120.0
1670598722058, 1670598722076, 305.25039805099937, 109.81653114918605, 300.0, 120.0
1670598722082, 1670598722106, 303.68451919655973, 108.95038050607717, 300.0, 120.0
1670598722112, 1670598722128, 303.83715941215127, 111.96867530374175, 300.0, 120.0
1670598722138, 1670598722151, 304.74700126074055, 116.5038369408916, 300.0, 120.0
1670598722165, 1670598722179, 305.65684310932977, 121.03899857804146, 300.0, 120.0
1670598722192, 1670598722201, 307.061466613012, 124.69990698760186, 300.0, 120.0
1670598722206, 1670598722227, 307.0206776666208, 128.01411953012396, 300.0, 120.0
1670598722238, 1670598722256, 306.37414409299186, 129.90496982258531, 300.0, 120.0
1670598722269, 1670598722278, 304.83268178415227, 131.43951498586608, 300.0, 120.0
1670598722284, 1670598722327, 304.27110956326004, 133.05780401740017, 300.0, 120.0
1670598722339, 1670598722356, 304.6228755737178, 134.74771157759145, 300.0, 120.0
1670598722371, 1670598722388, 305.3982127907395, 136.98653909029846, 300.0, 120.0
1670598722392, 1670598722414, 306.1735500077611, 139.22536660300548, 300.0, 120.0
